id,smirks,sources
EVODEX.0-Em1384,[O:13][C:14]([O:15])([C:36])[C:39].[H][O:95][C:94]>>[O:13][C:14]([C:36])([C:39])[O:95][C:94].[O:15],"EVODEX.0-P20313,EVODEX.0-P20319"
EVODEX.0-Em1387,[H][O:1][H:25].[O:5][C:6]([O:7])([C:19])[H:31]>>[O:1]([C:6]([O:5])([C:19])[H:31])[H:25].[O:7],"EVODEX.0-P20325,EVODEX.0-P20507"
EVODEX.0-Em1389,[C:5][C:6]([C:7])([O:19])[H:29].[H][O:23][H:38]>>[C:5][C:6]([C:7])([O:23][H:38])[H:29].[O:19],"EVODEX.0-P20432,EVODEX.0-P20444"
EVODEX.0-Em1390,O[C:6]([C:5])([C:7])[H:29].[H][O:23][H:38]>>[C:5][C:6]([C:7])([O:23][H:38])[H:29],"EVODEX.0-P33659,EVODEX.0-P33717"
EVODEX.0-Em1407,O[C:7]([C:8])([H:31])[H:32]>>O[C:7]([C:8])([H:31])[H:32],"EVODEX.0-P33628,EVODEX.0-P33655"
EVODEX.0-Em1424,[O:19][P:20](=[O:21])([O:22])[O:23].[H][O:32][H:49]>>[O:19][P:20](=[O:21])([O:22])[O:32][H:49].[O:23],"EVODEX.0-P23631,EVODEX.0-P24213"
EVODEX.0-Em1425,O[P:20]([O:19])(=[O:21])[O:22].[H][O:32][H:49]>>[O:19][P:20](=[O:21])([O:22])[O:32][H:49],"EVODEX.0-P23632,EVODEX.0-P31092"
EVODEX.0-Em1492,[C:4][C:5]([O:6])([H:42])[H:43].[H][C:28](:[C:27]):[C:29]>>[C:4][C:5]([C:28](:[C:27]):[C:29])([H:42])[H:43].[O:6],"EVODEX.0-P24475,EVODEX.0-P24485"
EVODEX.0-Em1493,O[C:5]([C:4])([H:42])[H:43].[H][C:28](:[C:27]):[C:29]>>[C:4][C:5]([C:28](:[C:27]):[C:29])([H:42])[H:43],"EVODEX.0-P24476,EVODEX.0-P24486"
EVODEX.0-Em1555,[O:6][C:7]([C:8])([H:31])[H:32].[H][O:1][H:52]>>[O:6].[O:1]([C:7]([C:8])([H:31])[H:32])[H:52],"EVODEX.0-P25337,EVODEX.0-P25348"
EVODEX.0-Em1556,O[C:7]([C:8])([H:31])[H:32].[H][O:1][H:52]>>[O:1]([C:7]([C:8])([H:31])[H:32])[H:52],"EVODEX.0-P33626,EVODEX.0-P33631"
EVODEX.0-Em1561,[H][C:2]([N:1]([H:24])[H:25])([C:3])[C:8]=[O:9].[O:11]=[C:12][C:14](=[O:15])[C:16]>>[C:2]([C:3])([C:8]=[O:9])=[O:15].[H][C:14]([N:1]([H:24])[H:25])([C:12]=[O:11])[C:16],"EVODEX.0-P25353,EVODEX.0-P25360"
EVODEX.0-Em1582,[C:1][C:2](=[O:3])[C:4]=[O:5].[H][C:8]([N:7]([H:18])[H:19])([C:9])[H:20]>>[H][C:2]([C:1])([C:4]=[O:5])[N:7]([H:18])[H:19].[O:3]=[C:8]([C:9])[H:20],"EVODEX.0-P25550,EVODEX.0-P25558"
EVODEX.0-Em1604,[H][N:1]([C:2])[H:81].[C:43][C:44](=[O:45])[O:46][H:130].[O:68][P:69](=[O:70])([O:71])[O:72]>>[N:1]([C:2])([C:44]([C:43])=[O:45])[H:81].[O:46]([P:69]([O:68])(=[O:70])[O:71])[H:130].[O:72],"EVODEX.0-P27701,EVODEX.0-P49526"
EVODEX.0-Em1605,[H][N:1]([C:2])[H:81].[C:43][C:44](=[O:45])[O:46][H:130].O[P:69]([O:68])(=[O:70])[O:71]>>[N:1]([C:2])([C:44]([C:43])=[O:45])[H:81].[O:46]([P:69]([O:68])(=[O:70])[O:71])[H:130],"EVODEX.0-P49529,EVODEX.0-P51654"
EVODEX.0-Em1606,[H][N:1]([C:2])[H:81].O[C:44]([C:43])=[O:45].P[O:72][P:73]>>[N:1]([C:2])([C:44]([C:43])=[O:45])[H:81].[H][O:72][P:73],"EVODEX.0-P49527,EVODEX.0-P51657"
EVODEX.0-Em1683,[O:19][S:20](=[O:21])(=[O:22])[O:23].[H][O:32][C:33]>>[O:19].[S:20](=[O:21])(=[O:22])([O:23])[O:32][C:33],"EVODEX.0-P31348,EVODEX.0-P31354"
EVODEX.0-Em1684,O[S:20](=[O:21])(=[O:22])[O:23].[H][O:32][C:33]>>[S:20](=[O:21])(=[O:22])([O:23])[O:32][C:33],"EVODEX.0-P31349,EVODEX.0-P31355"
EVODEX.0-Em1685,[H][O:10][C:9]>>S[O:10][C:9],"EVODEX.0-P31350,EVODEX.0-P31356"
EVODEX.0-Em1828,[N:1](=[C:2]([N:3])[N:4])[H:14].[H][O:13][H]>>[H][N:1]([C:2]([N:3])=[O:13])[H:14].[N:4],"EVODEX.0-P39159,EVODEX.0-P41326"
EVODEX.0-Em1835,N[C:2](=[O:3])[N:4].[H][O:10][H]>>[C:2](=[O:3])=[O:10].[N:4],"EVODEX.0-P42350,EVODEX.0-P42360"
EVODEX.0-Em1836,[N:1][C:2](=[O:3])[N:4]>>O=[C:2]=[O:3].[N:4].[N:1],"EVODEX.0-P42351,EVODEX.0-P42365"
EVODEX.0-Em2308,[H][S:48][C:47].[O:63][P:64](=[O:65])([O:66])[O:67].[O:80]=[C:81]([O:82][H:142])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83].[O:63][P:64](=[O:65])([O:66])[O:82][H:142].[O:67],"EVODEX.0-P49531,EVODEX.0-P49560"
EVODEX.0-Em2309,[H][S:48][C:47].O[P:64]([O:63])(=[O:65])[O:66].[O:80]=[C:81]([O:82][H:142])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83].[O:63][P:64](=[O:65])([O:66])[O:82][H:142],"EVODEX.0-P49532,EVODEX.0-P49561"
EVODEX.0-Em2310,[H][S:48][C:47].P[O:67][P:68].O[C:81](=[O:80])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83].[H][O:67][P:68],"EVODEX.0-P49534,EVODEX.0-P49595"
EVODEX.0-Em2311,P[O:67][P:68].O[C:81](=[O:80])[C:83]>>S[C:81](=[O:80])[C:83].[H][O:67][P:68],"EVODEX.0-P49537,EVODEX.0-P49603"
