id,smirks,sources
EVODEX.0-N1090,[H][C@:2]([N:1]([H:22])[H:23])([C:3])[C:9].[C:16][C:17](=[O:18])[C:19]>>[C:2]([C:3])([C:9])=[O:18].[H][C@:17]([N:1]([H:22])[H:23])([C:16])[C:19],"EVODEX.0-P25353,EVODEX.0-P25360"
EVODEX.0-N1118,[C:1][C:2](=[O:3])[O:4].[H][O:14][H:23]>>[C:1][C:2](=[O:3])[O:14][H:23].[H][O:4],"EVODEX.0-P19710,EVODEX.0-P32262"
EVODEX.0-N1153,[O:18][C@@:19]([O:20])([C:28])[H:53].[H][O:37][C:38]>>[C@:19]([O:20])([C:28])([O:37][C:38])[H:53].[H][O:18],"EVODEX.0-P18658,EVODEX.0-P20206"
EVODEX.0-N1155,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):C([H]):C(=O):N([H]):C:2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[C@@:19]([O:20])([C:28])[H:53].[H][O:37][C:38]>>[C@:19]([O:20])([C:28])([O:37][C:38])[H:53],"EVODEX.0-P18660,EVODEX.0-P20354"
EVODEX.0-N1156,[H][O:37][C:38]>>[H]OC([H])([H])[C@@]1([H])O[C@@]([H])([O:37][C:38])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],"EVODEX.0-P18662,EVODEX.0-P20209"
EVODEX.0-N1162,[H]OP(=O)(O[H])OP(=O)(O[H])O[P:16]([O:15])(=[O:17])[O:18].[H][O:34][P:33]>>[O:15][P:16](=[O:17])([O:18])[O:34][P:33],"EVODEX.0-P18713,EVODEX.0-P29516"
EVODEX.0-N1315,[H][O:3][P:2].[O:9][C@@:10]([O:11])([C:34])[H:47]>>[P:2][O:3][C@@:10]([O:9])([C:34])[H:47].[H][O:11],"EVODEX.0-P20212,EVODEX.0-P20284"
EVODEX.0-N1316,[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:7][C:8])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]>>[H][O:7][C:8],"EVODEX.0-P20213,EVODEX.0-P20235"
EVODEX.0-N1318,[C:8]:[C:9]([O:10]):[C:33].[H][O:36][H:65]>>[C:8]:[C:9](:[C:33])[O:36][H:65].[H][O:10],"EVODEX.0-P20228,EVODEX.0-P32454"
EVODEX.0-N1323,[O:13][C@:14]([O:15])([C:36])[C:39].[H][O:94][C:93]>>[O:13][C@:14]([C:36])([C:39])[O:94][C:93].[H][O:15],"EVODEX.0-P20313,EVODEX.0-P20319"
EVODEX.0-N1327,[O:14][C@@:15]([O:16])([C:37])[H:72].[H][O:58][H:107]>>[O:14][C@:15]([C:37])([O:58][H:107])[H:72].[H][O:16],"EVODEX.0-P20325,EVODEX.0-P20507"
EVODEX.0-N1331,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(=O):N([H]):C(N([H])[H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[C@@:22]([O:23])([C:31])[H:65].[H][O:49][C:48]>>[C@@:22]([O:23])([C:31])([O:49][C:48])[H:65],"EVODEX.0-P20379,EVODEX.0-P20402"
EVODEX.0-N1335,[H][O:57][C:56]>>[H]OC([H])([H])[C@@]1([H])O[C@@]([H])([O:57][C:56])[C@]([H])(N([H])C(=O)C([H])([H])[H])[C@@]([H])(O[H])[C@@]1([H])O[H],"EVODEX.0-P20408,EVODEX.0-P20594"
EVODEX.0-N1339,[C:5][C:6]([C:7])([O:19])[H:29].[H][O:23][H:38]>>[C:5][C:6]([C:7])([O:23][H:38])[H:29].[H][O:19],"EVODEX.0-P20432,EVODEX.0-P20444"
EVODEX.0-N1448,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[P:24](=[O:25])([O:26])[O:27].[H][O:32][C:33]>>[P:24](=[O:25])([O:26])([O:27])[O:32][C:33],"EVODEX.0-P23596,EVODEX.0-P27245"
EVODEX.0-N1451,[O:19][P:20](=[O:21])([O:22])[O:23].[H][O:32][H:49]>>[O:19][P:20](=[O:21])([O:22])[O:32][H:49].[H][O:23],"EVODEX.0-P23631,EVODEX.0-P24213"
EVODEX.0-N1452,[H]OP(=O)(O[H])O[P:20]([O:19])(=[O:21])[O:22].[H][O:32][H:49]>>[O:19][P:20](=[O:21])([O:22])[O:32][H:49],"EVODEX.0-P23632,EVODEX.0-P31092"
EVODEX.0-N1536,[C:4][C:5]([O:6])([H:42])[H:43].[H][C:28](:[C:27]):[C:29]>>[C:4][C:5]([C:28](:[C:27]):[C:29])([H:42])[H:43].[H][O:6],"EVODEX.0-P24475,EVODEX.0-P24485"
EVODEX.0-N1537,[H]OP(=O)(O[H])OP(=O)(O[H])O[C:5]([C:4])([H:42])[H:43].[H][C:28](:[C:27]):[C:29]>>[C:4][C:5]([C:28](:[C:27]):[C:29])([H:42])[H:43],"EVODEX.0-P24476,EVODEX.0-P24486"
EVODEX.0-N1617,[O:6][C:7]([C:8])([H:31])[H:32].[H][O:1][H:52]>>[H][O:6].[O:1]([C:7]([C:8])([H:31])[H:32])[H:52],"EVODEX.0-P25337,EVODEX.0-P25348"
EVODEX.0-N1662,[C:1][C:2](=[O:3])[C:4].[H][C:8]([N:7]([H:18])[H:19])([C:9])[H:20]>>[H][C@:2]([C:1])([C:4])[N:7]([H:18])[H:19].[O:3]=[C:8]([C:9])[H:20],"EVODEX.0-P25550,EVODEX.0-P25558"
EVODEX.0-N1790,[H][N:1]([C:2])[H:81].[C:43][C:44](=[O:45])[O:46][H:130].[O:68][P:69](=[O:70])([O:71])[O:72]>>[N:1]([C:2])([C:44]([C:43])=[O:45])[H:81].[O:46]([P:69]([O:68])(=[O:70])[O:71])[H:130].[H][O:72],"EVODEX.0-P27701,EVODEX.0-P49526"
EVODEX.0-N1797,[H]O[C:2]([C:1])=[O:3].[H][N:5]([C:6])[H:17]>>[C:1][C:2](=[O:3])[N:5]([C:6])[H:17],"EVODEX.0-P27710,EVODEX.0-P37758"
EVODEX.0-N1940,[O:19][S:20](=[O:21])(=[O:22])[O:23].[H][O:32][C:33]>>[H][O:19].[S:20](=[O:21])(=[O:22])([O:23])[O:32][C:33],"EVODEX.0-P31348,EVODEX.0-P31354"
EVODEX.0-N1941,[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])O[S:20](=[O:21])(=[O:22])[O:23])O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[H][O:32][C:33]>>[S:20](=[O:21])(=[O:22])([O:23])[O:32][C:33],"EVODEX.0-P31349,EVODEX.0-P31355"
