id,smirks,sources,hash
EVODEX.2.1-D188,[#6:5]/[#6:6](=[#6:7](/[#6:8]=[#8:9])-[#1:77])-[#1:76].[#6:18](=[#8:19])-[#6:20]1=[#6:21](-[#7:22](-[#6@@:23])-[#6:62](=[#6:63](-[#6:64]-1(-[#1:114])-[#1])-[#1:113])-[#1:112])-[#1:88]>>[#6:5]-[#6:6](-[#6:7](-[#6:8]=[#8:9])(-[#1:77])-[#1])(-[#1:76])-[#1].[#6:18](=[#8:19])-[#6:20]1:[#6:21](:[#7&+:22](-[#6@@:23]):[#6:62](:[#6:63](:[#6:64]:1-[#1:114])-[#1:113])-[#1:112])-[#1:88],"EVODEX.2.1-P898,EVODEX.2.1-P903,EVODEX.2.1-P908,EVODEX.2.1-P909,EVODEX.2.1-P910,EVODEX.2.1-P911,EVODEX.2.1-P913",37308457844595999875978605111544895192692382859406555266433058065744209544075
EVODEX.2.1-D304,[#6:2]=[#6:4](-[#6:5])-[#1]>>[#6:2]=[#6:4](-[#6:5])-[#6](-[#1])(-[#1])-[#1],"EVODEX.2.1-P1388,EVODEX.2.1-P2613,EVODEX.2.1-P2621,EVODEX.2.1-P2623,EVODEX.2.1-P2630,EVODEX.2.1-P2637",52288950140544925532802885423245951570300955447451332811718768978989459334027
EVODEX.2.1-D2,[#6:2](=[#8:3])-[#6:4]1:[#6:5](:[#6:6](:[#6:7](:[#7&+:8](-[#6@@:9]):[#6:44]:1-[#1:84])-[#1:61])-[#1:60])-[#1:59].[#6:55](-[#6@:53])(-[#8:56]-[#1])(-[#1:92])-[#1]>>[#6:2](=[#8:3])-[#6:4]1=[#6:44](-[#7:8](-[#6@@:9])-[#6:7](=[#6:6](-[#6:5]-1(-[#1:59])-[#1])-[#1:60])-[#1:61])-[#1:84].[#6:55](-[#6@:53])(=[#8:56])-[#1:92],"EVODEX.2.1-P2,EVODEX.2.1-P46,EVODEX.2.1-P6,EVODEX.2.1-P78,EVODEX.2.1-P79",100056721964783563959398024869351272065087555207274203842345554940788825637085
EVODEX.2.1-D3,[#6:1]-[#6:2](=[#8:3])-[#6:4]1:[#6:5]:[#6:6]:[#6:7]:[#6:8]:[#6:9]:1>>[#6:1]-[#6:2](-[#8:3]-[#1])(-[#6:4]1:[#6:5]:[#6:6]:[#6:7]:[#6:8]:[#6:9]:1)-[#1],"EVODEX.2.1-P27,EVODEX.2.1-P3,EVODEX.2.1-P4,EVODEX.2.1-P7,EVODEX.2.1-P8",102285336974737611308313941066034701335597153158779505253677933234255971850921
EVODEX.2.1-D4,[#8:2]-[#6:3]1=[#6:4](-[#8:5])-[#6:7](=[#8:8])-[#6:9](-[#6:10])=[#6:15](-[#6:16])-[#6:17]-1=[#8:18]>>[#8:2]-[#6:3]1:[#6:4](-[#8:5]):[#6:7](-[#8:8]-[#1]):[#6:9](-[#6:10]):[#6:15](-[#6:16]):[#6:17]:1-[#8:18]-[#1],"EVODEX.2.1-P1321,EVODEX.2.1-P152,EVODEX.2.1-P157,EVODEX.2.1-P5,EVODEX.2.1-P918",44351532499408876091891177208151501631971379659340873528145558396074473675980
EVODEX.2.1-D5,[#6:7]-[#6:8](=[#8:9])-[#8]-[#6]1:[#6](:[#6](:[#6](-[#7&+](=[#8])-[#8&-]):[#6](:[#6]:1-[#1])-[#1])-[#1])-[#1]>>[#6:7]-[#6:8](=[#8:9])-[#8]-[#1],"EVODEX.2.1-P3935,EVODEX.2.1-P4073,EVODEX.2.1-P4692,EVODEX.2.1-P5043,EVODEX.2.1-P9",1709823561843342549178261371440358186446298582499715616291298561928211755709
EVODEX.2.1-D6,[#6:7]-[#6:8](=[#8:9])-[#8:10]-[#6:11]1:[#6:12]:[#6:13]:[#6:14](-[#7&+:15]=[#8:16]):[#6:18]:[#6:19]:1>>[#6:7]-[#6:8](=[#8:9])-[#8]-[#1].[#8:10](-[#6:11]1:[#6:12]:[#6:13]:[#6:14](-[#7&+:15]=[#8:16]):[#6:18]:[#6:19]:1)-[#1],"EVODEX.2.1-P10,EVODEX.2.1-P3583,EVODEX.2.1-P3585,EVODEX.2.1-P4989,EVODEX.2.1-P5046",65763017962526006839128695225875908034422999413199012159606650483016298773359
EVODEX.2.1-D9,[#6:2](=[#8:3])-[#6:4]1:[#6:5](:[#6:6](:[#6:7](:[#7&+:8](-[#6@@:9]):[#6:48]:1-[#1:87])-[#1:63])-[#1:62])-[#1:61].[#8:52]-[#6:53](-[#8:54]-[#1])(-[#6@@:55])-[#1]>>[#6:2](=[#8:3])-[#6:4]1=[#6:48](-[#7:8](-[#6@@:9])-[#6:7](=[#6:6](-[#6:5]-1(-[#1:61])-[#1])-[#1:62])-[#1:63])-[#1:87].[#8:52]-[#6:53](=[#8:54])-[#6@@:55],"EVODEX.2.1-P15,EVODEX.2.1-P40,EVODEX.2.1-P58,EVODEX.2.1-P95,EVODEX.2.1-P96",109472746702600617131669588280520156514876965107343925593054973578108720082114
EVODEX.2.1-D10,[#8:48]-[#6:49](-[#8:50]-[#1])(-[#6:51])-[#1]>>[#8:48]-[#6:49](=[#8:50])-[#6:51],"EVODEX.2.1-P104,EVODEX.2.1-P16,EVODEX.2.1-P19,EVODEX.2.1-P4025,EVODEX.2.1-P5713",30868145203254645516405443994785381955697075598229015491357226390419293850850
EVODEX.2.1-D11,[#6:2](=[#8:3])-[#6:4]1:[#6:5](:[#6:6](:[#6:7](:[#7&+:8](-[#6@@:9]):[#6:48]:1-[#1:89])-[#1:65])-[#1:64])-[#1:63].([#8:49]=[#6:50](-[#6@@:51])-[#1].[#8:58](-[#6@@:57])-[#1])>>[#6:2](=[#8:3])-[#6:4]1=[#6:48](-[#7:8](-[#6@@:9])-[#6:7](=[#6:6](-[#6:5]-1(-[#1:63])-[#1])-[#1:64])-[#1:65])-[#1:89].[#8:49]=[#6:50](-[#6@@:51])-[#8:58]-[#6@:57],"EVODEX.2.1-P17,EVODEX.2.1-P18,EVODEX.2.1-P21,EVODEX.2.1-P39,EVODEX.2.1-P61",28404424727080973762910586063664314331162558536191017494082271009770429347575
