id,mass,sources,formula_diff
EVODEX.2.1-M217,412.1344,"EVODEX.2.1-P4774,EVODEX.2.1-P4778,EVODEX.2.1-P4784,EVODEX.2.1-P4785,EVODEX.2.1-P4790","{""C"": 15, ""H"": 20, ""N"": 6, ""O"": 8}"
EVODEX.2.1-M218,556.0721599999999,"EVODEX.2.1-P6533,EVODEX.2.1-P6545,EVODEX.2.1-P6565,EVODEX.2.1-P6575,EVODEX.2.1-P6711","{""C"": 15, ""H"": 22, ""N"": 6, ""O"": 13, ""P"": 2}"
EVODEX.2.1-M219,204.18792,"EVODEX.2.1-P2325,EVODEX.2.1-P2329,EVODEX.2.1-P2330,EVODEX.2.1-P2341,EVODEX.2.1-P2348","{""C"": 15, ""H"": 24}"
EVODEX.2.1-M220,526.0980199999999,"EVODEX.2.1-P6749,EVODEX.2.1-P6754,EVODEX.2.1-P6881,EVODEX.2.1-P6937,EVODEX.2.1-P7018","{""C"": 15, ""H"": 24, ""N"": 6, ""O"": 11, ""P"": 2}"
EVODEX.2.1-M221,558.0701199999999,"EVODEX.2.1-P6733,EVODEX.2.1-P6793,EVODEX.2.1-P6872,EVODEX.2.1-P6941,EVODEX.2.1-P6948","{""C"": 15, ""H"": 24, ""N"": 6, ""O"": 11, ""P"": 2, ""S"": 1}"
EVODEX.2.1-M222,564.0885599999999,"EVODEX.2.1-P6448,EVODEX.2.1-P6452,EVODEX.2.1-P6454,EVODEX.2.1-P6480,EVODEX.2.1-P6758","{""C"": 16, ""H"": 22, ""N"": 8, ""O"": 11, ""P"": 2}"
EVODEX.2.1-M101,540.1136799999999,"EVODEX.2.1-P6624,EVODEX.2.1-P6750,EVODEX.2.1-P6778,EVODEX.2.1-P6787,EVODEX.2.1-P6865,EVODEX.2.1-P6868,EVODEX.2.1-P6905,EVODEX.2.1-P6908,EVODEX.2.1-P7012,EVODEX.2.1-P7033","{""C"": 16, ""H"": 26, ""N"": 6, ""O"": 11, ""P"": 2}"
EVODEX.2.1-M223,238.2298,"EVODEX.2.1-P1584,EVODEX.2.1-P1717,EVODEX.2.1-P1718,EVODEX.2.1-P1763,EVODEX.2.1-P1817","{""C"": 16, ""H"": 30, ""O"": 1}"
EVODEX.2.1-M224,242.26112,"EVODEX.2.1-P1795,EVODEX.2.1-P1799,EVODEX.2.1-P1804,EVODEX.2.1-P1811,EVODEX.2.1-P1822","{""C"": 16, ""H"": 34, ""O"": 1}"
EVODEX.2.1-M225,554.17706,"EVODEX.2.1-P6427,EVODEX.2.1-P6430,EVODEX.2.1-P6433,EVODEX.2.1-P6436,EVODEX.2.1-P6440","{""C"": 17, ""H"": 32, ""N"": 8, ""O"": 9, ""P"": 2}"
EVODEX.2.1-M227,264.24546,"EVODEX.2.1-P1610,EVODEX.2.1-P1690,EVODEX.2.1-P1700,EVODEX.2.1-P1711,EVODEX.2.1-P1794","{""C"": 18, ""H"": 32, ""O"": 1}"
EVODEX.2.1-M228,280.24036,"EVODEX.2.1-P1688,EVODEX.2.1-P1818,EVODEX.2.1-P1819,EVODEX.2.1-P1820,EVODEX.2.1-P1821","{""C"": 18, ""H"": 32, ""O"": 2}"
EVODEX.2.1-M229,281.27205,"EVODEX.2.1-P5474,EVODEX.2.1-P5486,EVODEX.2.1-P5490,EVODEX.2.1-P5495,EVODEX.2.1-P5498","{""C"": 18, ""H"": 35, ""N"": 1, ""O"": 1}"
EVODEX.2.1-M168,299.28261000000003,"EVODEX.2.1-P1708,EVODEX.2.1-P1709,EVODEX.2.1-P1710,EVODEX.2.1-P1720,EVODEX.2.1-P5475,EVODEX.2.1-P5477,EVODEX.2.1-P5480,EVODEX.2.1-P5488,EVODEX.2.1-P5491","{""C"": 18, ""H"": 37, ""N"": 1, ""O"": 2}"
EVODEX.2.1-M607,301.29827,EVODEX.2.1-P1719,"{""C"": 18, ""H"": 39, ""N"": 1, ""O"": 2}"
EVODEX.2.1-M608,525.13752,EVODEX.2.1-P6590,"{""C"": 19, ""H"": 24, ""N"": 7, ""O"": 9, ""P"": 1}"
EVODEX.2.1-M102,27.010930000000002,"EVODEX.2.1-P5963,EVODEX.2.1-P5965,EVODEX.2.1-P5972,EVODEX.2.1-P5974,EVODEX.2.1-P5975,EVODEX.2.1-P5979,EVODEX.2.1-P5980,EVODEX.2.1-P6045,EVODEX.2.1-P6051,EVODEX.2.1-P6054","{""C"": 1, ""H"": 1, ""N"": 1}"
EVODEX.2.1-M230,43.00583,"EVODEX.2.1-P1468,EVODEX.2.1-P1470,EVODEX.2.1-P1473,EVODEX.2.1-P1477,EVODEX.2.1-P1478","{""C"": 1, ""H"": 1, ""N"": 1, ""O"": 1}"
EVODEX.2.1-M17,14.01566,"EVODEX.2.1-P1280,EVODEX.2.1-P1334,EVODEX.2.1-P1336,EVODEX.2.1-P1340,EVODEX.2.1-P1343,EVODEX.2.1-P1344,EVODEX.2.1-P1346,EVODEX.2.1-P1348,EVODEX.2.1-P1353,EVODEX.2.1-P1357,EVODEX.2.1-P1359,EVODEX.2.1-P1361,EVODEX.2.1-P1367,EVODEX.2.1-P1374,EVODEX.2.1-P1382,EVODEX.2.1-P1386,EVODEX.2.1-P1388,EVODEX.2.1-P1389,EVODEX.2.1-P1390,EVODEX.2.1-P1391,EVODEX.2.1-P1398,EVODEX.2.1-P1401,EVODEX.2.1-P1413,EVODEX.2.1-P1416,EVODEX.2.1-P1432,EVODEX.2.1-P1434,EVODEX.2.1-P1437,EVODEX.2.1-P1438,EVODEX.2.1-P1443,EVODEX.2.1-P1446,EVODEX.2.1-P1450,EVODEX.2.1-P2024,EVODEX.2.1-P2129,EVODEX.2.1-P2613,EVODEX.2.1-P2621,EVODEX.2.1-P2623,EVODEX.2.1-P2630,EVODEX.2.1-P2637,EVODEX.2.1-P3613","{""C"": 1, ""H"": 2}"
EVODEX.2.1-M231,42.021860000000004,"EVODEX.2.1-P1484,EVODEX.2.1-P1485,EVODEX.2.1-P1487,EVODEX.2.1-P1488,EVODEX.2.1-P5098","{""C"": 1, ""H"": 2, ""N"": 2}"
EVODEX.2.1-M232,15.023489999999999,"EVODEX.2.1-P1351,EVODEX.2.1-P1395,EVODEX.2.1-P1453,EVODEX.2.1-P1454,EVODEX.2.1-P1455","{""C"": 1, ""H"": 3}"
EVODEX.2.1-M233,32.02622,"EVODEX.2.1-P3614,EVODEX.2.1-P4267,EVODEX.2.1-P5097,EVODEX.2.1-P5341,EVODEX.2.1-P5429","{""C"": 1, ""H"": 4, ""O"": 1}"
EVODEX.2.1-M235,27.9949,"EVODEX.2.1-P1456,EVODEX.2.1-P1457,EVODEX.2.1-P1461,EVODEX.2.1-P5632,EVODEX.2.1-P5633","{""C"": 1, ""O"": 1}"
EVODEX.2.1-M175,43.9898,"EVODEX.2.1-P5910,EVODEX.2.1-P5912,EVODEX.2.1-P5915,EVODEX.2.1-P5918,EVODEX.2.1-P5922","{""C"": 1, ""O"": 2}"
EVODEX.2.1-M236,521.1985099999999,"EVODEX.2.1-P4746,EVODEX.2.1-P4747,EVODEX.2.1-P4757,EVODEX.2.1-P4758,EVODEX.2.1-P4762","{""C"": 20, ""H"": 27, ""N"": 9, ""O"": 8}"
EVODEX.2.1-M237,460.21854,"EVODEX.2.1-P4791,EVODEX.2.1-P4792,EVODEX.2.1-P4793,EVODEX.2.1-P4794,EVODEX.2.1-P4798","{""C"": 20, ""H"": 28, ""N"": 8, ""O"": 5}"
EVODEX.2.1-M238,661.0921699999999,"EVODEX.2.1-P6742,EVODEX.2.1-P6746,EVODEX.2.1-P7064,EVODEX.2.1-P7077,EVODEX.2.1-P7082","{""C"": 20, ""H"": 29, ""N"": 3, ""O"": 18, ""P"": 2}"
EVODEX.2.1-M239,539.20907,"EVODEX.2.1-P4745,EVODEX.2.1-P4748,EVODEX.2.1-P4755,EVODEX.2.1-P4761,EVODEX.2.1-P4799","{""C"": 20, ""H"": 29, ""N"": 9, ""O"": 9}"
EVODEX.2.1-M581,286.22979999999995,"EVODEX.2.1-P1768,EVODEX.2.1-P3653","{""C"": 20, ""H"": 30, ""O"": 1}"
EVODEX.2.1-M240,272.25056,"EVODEX.2.1-P2350,EVODEX.2.1-P2351,EVODEX.2.1-P2352,EVODEX.2.1-P2353,EVODEX.2.1-P2354","{""C"": 20, ""H"": 32}"
EVODEX.2.1-M241,721.1100199999998,"EVODEX.2.1-P727,EVODEX.2.1-P744,EVODEX.2.1-P769,EVODEX.2.1-P853,EVODEX.2.1-P885","{""C"": 20, ""H"": 34, ""N"": 7, ""O"": 14, ""P"": 3, ""S"": 1}"
EVODEX.2.1-M553,294.29244,"EVODEX.2.1-P1797,EVODEX.2.1-P1798,EVODEX.2.1-P1800","{""C"": 20, ""H"": 38, ""O"": 1}"
EVODEX.2.1-M534,664.11714,"EVODEX.2.1-P2916,EVODEX.2.1-P2918,EVODEX.2.1-P2920,EVODEX.2.1-P2921","{""C"": 21, ""H"": 28, ""N"": 7, ""O"": 14, ""P"": 2}"
EVODEX.2.1-M610,665.12497,EVODEX.2.1-P2922,"{""C"": 21, ""H"": 29, ""N"": 7, ""O"": 14, ""P"": 2}"
