id,original_id,smirks,sources
EVODEX.1-E42,112511881853663473423070289378829590818543221350978921244543124391015505001088,[#6:16]-[#6:17](=[#8:18])-[H].[#8:19](-[H:61])-[H]>>[#6:16]-[#6:17](=[#8:18])-[#8:19]-[H:61],"EVODEX.1-P682,EVODEX.1-P691,EVODEX.1-P688,EVODEX.1-P701,EVODEX.1-P59"
EVODEX.1-E43,11654224110023770785329660391153859592895370391962565351108634005802630641995,[#6:2]-[#6:4](-[#7:5](-[H:10])-[H:11])(-[H:12])-[H].[#8:6](-[H])-[H]>>[#6:2]-[#6:4](=[#8:6])-[H:12].[#7:5](-[H:10])(-[H:11])-[H],"EVODEX.1-P1024,EVODEX.1-P1065,EVODEX.1-P1010,EVODEX.1-P937,EVODEX.1-P1023"
EVODEX.1-E44,12915689398523809891306164460764266595120677878791307103598651342925340615283,[#8:37](-[#6@:36](-[#6@:34])(-[H])-[#8:38])-[H]>>[#6:36](-[#6@:34])(=[#8:37])-[#8:38],"EVODEX.1-P174,EVODEX.1-P26,EVODEX.1-P25,EVODEX.1-P24,EVODEX.1-P93"
EVODEX.1-E45,108444492397427513684451687701693521837869771577294535630389990328642383578116,[#7:1]#[#6:2]-[#7:3].[#8:4](-[H])-[H]>>[#7:1](-[#6:2](-[#7:3])=[#8:4])(-[H])-[H],"EVODEX.1-P652,EVODEX.1-P659,EVODEX.1-P6458,EVODEX.1-P653,EVODEX.1-P663"
EVODEX.1-E46,97349138365495420822589781379777608443203635761907758284554944901529192862671,[#6:8](=[#8:9])-[#6:10](-[#8:11])(-[H:20])-[H]>>[#6:8](-[#8:9]-[H])=[#6:10](-[#8:11])-[H:20],"EVODEX.1-P68,EVODEX.1-P116,EVODEX.1-P1,EVODEX.1-P41,EVODEX.1-P39"
EVODEX.1-E47,72224147798347293687731090445665869100716575900920406029454294008635748620425,[#6:13]-[#6:14](-[#6:15](-[#6:16])(-[H:109])-[H])(-[H:111])-[H]>>[#6:13]-[#6:14](=[#6:15](-[#6:16])-[H:109])-[H:111],"EVODEX.1-P600,EVODEX.1-P124,EVODEX.1-P605,EVODEX.1-P601,EVODEX.1-P602"
EVODEX.1-E48,72756172130775069765812377228397603133405325281403410010912618384972085267567,[#6:1](-[#7:2](-[#6:3])-[H:24])(-[H:25])(-[H:26])-[H].[#8:12](-[H])-[H]>>[#6:1](=[#8:12])(-[H:25])-[H:26].[#7:2](-[#6:3])(-[H:24])-[H],"EVODEX.1-P1160,EVODEX.1-P1151,EVODEX.1-P1178,EVODEX.1-P1181,EVODEX.1-P1175"
EVODEX.1-E49,69884135596527292063163321365344435150313591721610940271255190922697253270913,[#6:1]-[#6:2](-[#7:3](-[#6:4])-[H:28])(-[H:29])-[H].[#8:13](-[H])-[H]>>[#6:1]-[#6:2](=[#8:13])-[H:29].[#7:3](-[#6:4])(-[H:28])-[H],"EVODEX.1-P1086,EVODEX.1-P1166,EVODEX.1-P1154,EVODEX.1-P1094,EVODEX.1-P1083"
EVODEX.1-E50,107777633375756606886230723586606757689205340045251183622367039918256123629082,[#7:1](-[#6:2](-[#6:3])(-[#6:9])-[H])(-[H:29])-[H:30].[#8:15](-[H])-[H]>>[#6:2](-[#6:3])(-[#6:9])=[#8:15].[#7:1](-[H:29])(-[H:30])-[H],"EVODEX.1-P950,EVODEX.1-P901,EVODEX.1-P882,EVODEX.1-P946,EVODEX.1-P897"
EVODEX.1-E51,48754450157401483762513774524906236143637718554390033792211176592516258951465,[#6:47]-[#16:48]-[H].[#8:97]=[#6:98](-[#6:99])-[H]>>[#6:47]-[#16:48]-[#6:98](=[#8:97])-[#6:99],"EVODEX.1-P667,EVODEX.1-P736,EVODEX.1-P673,EVODEX.1-P666,EVODEX.1-P671"
EVODEX.1-E52,25274073999458364915836906665432779244588416327117790152752366997505208826011,[#6:1]-[#6:2](-[#6@@:3](-[H])(-[#6@:4])-[#6@@:25])(-[H:96])-[H]>>[#6:1]-[#6:2](=[#6:3](-[#6@:4])-[#6@@:25])-[H:96],"EVODEX.1-P135,EVODEX.1-P604,EVODEX.1-P829,EVODEX.1-P828,EVODEX.1-P603"
EVODEX.1-E53,66746702220006426746522148005270231681152805494397043651639771727833961156694,[#6:66]-[#6@:67](-[#6:68](-[#8:69]-[H])(-[H:111])-[H])(-[#6:70])-[H:118]>>[#6:66]-[#6:67](-[#6:68](=[#8:69])-[H:111])(-[#6:70])-[H:118],"EVODEX.1-P11,EVODEX.1-P7,EVODEX.1-P6,EVODEX.1-P4,EVODEX.1-P3"
EVODEX.1-E54,75110247637631236105388199725872406059924851462190033226628129551983812331909,[#6:1]-[#6@:2](-[H])(-[#6:3])-[#7:6](-[#6:5])-[H]>>[#6:1]-[#6:2](=[#7:6]-[#6:5])-[#6:3],"EVODEX.1-P545,EVODEX.1-P547,EVODEX.1-P1141,EVODEX.1-P1142,EVODEX.1-P1143"
EVODEX.1-E55,30429297465048665994634521312219709637340318268485609103119064394425695075991,[#6:5]-[#6:6](-[#8:7])(-[#6:8](-[#8:9])(-[H:62])-[H])-[H]>>[#6:5]-[#6:6](-[#8:7])=[#6:8](-[#8:9])-[H:62],"EVODEX.1-P805,EVODEX.1-P808,EVODEX.1-P807,EVODEX.1-P73,EVODEX.1-P806"
EVODEX.1-E56,99367462096271243341848151533100817735039767619291145633219682559126189308558,[#6:5](=[#8:6])-[#6@@:7](-[#6:8](-[#6:9])(-[H:26])-[H])(-[H])-[#7:15]>>[#6:5](=[#8:6])-[#6:7](=[#6:8](-[#6:9])-[H:26])-[#7:15],"EVODEX.1-P849,EVODEX.1-P853,EVODEX.1-P855,EVODEX.1-P852,EVODEX.1-P847"
EVODEX.1-E57,112807702842724900552002895608977815722077552948660876489818460273095831151534,[#6:50]-[#7:51](-[#6@@:52](-[#6:53])(-[#6:58]=[#8:59])-[H])-[H:100].[#8:64](-[H])-[H]>>[#6:52](-[#6:53])(-[#6:58]=[#8:59])=[#8:64].[#6:50]-[#7:51](-[H:100])-[H],"EVODEX.1-P1116,EVODEX.1-P1121,EVODEX.1-P1118,EVODEX.1-P1150,EVODEX.1-P926"
EVODEX.1-E58,18375624709015959504080792870806124701003757252618064205090423883371951951072,[#6:1]-[#6:2](=[#8:3])-[#6:4](=[#8:5])-[#8:6].[#6:49]-[#16:50]-[H]>>[#6:1]-[#6:2](=[#8:3])-[#16:50]-[#6:49].[#6:4](=[#8:5])(-[#8:6])-[H],"EVODEX.1-P744,EVODEX.1-P793,EVODEX.1-P686,EVODEX.1-P677,EVODEX.1-P1821"
